school_id,nces_unitid,school_name,school_website,cycling_website,research_status,evidence_url,evidence_date,evidence_snippet,discipline_evidence_text,road,mtb_xc,mtb_st,mtb_enduro,mtb_downhill,mtb_slalom,cyclocross,track,cycling_program_status,head_coach,contact_email,researcher,notes
136,189088,Bard College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,cooper@bard.edu,chatgpt-deep,all unknown; ECCC conference source referenced
137,160977,Bates College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,slehmann@bates.edu,chatgpt-deep,all unknown; ECCC conference source referenced
258,164924,Boston College,https://www.bc.edu/,https://www.bc.edu/bc-web/offices/rec/sports/club-sports/cycling.html,complete,https://www.bc.edu/bc-web/offices/rec/sports/club-sports/Club_Sports_Teams/Cycling.html,unknown,"Compete in mountain, cyclocross and road races.",Explicit support for road and cyclocross; mountain bike subtype unspecified.,true,,,,,,true,,active,,,chatgpt-deep,mtb subtype unknown
259,164988,Boston University,https://www.bu.edu/,https://www.bu.edu/fitrec/recreation/clubsims/club-sports/cycling/,complete,https://www.bu.edu/fitrec/what-we-offer/clubsims/club-sports/cycling/,unknown,Compete mostly in spring road races in New England.,Explicit road-race evidence only.,true,,,,,,,,active,,,chatgpt-deep,others unknown
140,161004,Bowdoin College,,,complete,https://students.bowdoin.edu/cycling-club/,unknown,Road racing and criterium race reports in ECCC.,Road race participation evidence present; no clear MTB/CX/track evidence on official page.,true,,,,,,,,active,,nhintze@bowdoin.edu,chatgpt-deep,others unknown
141,165015,Brandeis University,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,djenesky@brandeis.edu,chatgpt-deep,all unknown; ECCC conference source referenced; listed on ECCC clubs page
142,217156,Brown University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",true,true,,,,,true,true,active,,browncycling@gmail.com,chatgpt-deep,verify with official brown source if possible; ECCC conference source referenced
143,211291,Bucknell University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",true,true,,,,,true,,active,,kelandis@bucknell.edu,chatgpt-deep,verify with official bucknell source if possible; ECCC conference source referenced
144,211440,Carnegie Mellon University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,sdunniso@andrew.cmu.edu,chatgpt-deep,all unknown; ECCC conference source referenced
145,230834,Castleton University,,,complete,https://castletonsports.com/sports/2020/6/17/recreation-club-sports-index.aspx,unknown,"Cycling club includes mountain biking, cyclocross, and road biking.",Explicit support for road and cyclocross; mountain subtype unspecified.,true,true,,,,,true,,active,,sec11160@castleton.edu,chatgpt-deep,mtb subtype inferred from generic mountain biking
146,190044,Clarkson University,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,gilreikm@clarkson.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; listed on ECCC clubs page
147,161086,Colby College,,,complete,https://web.colby.edu/cycling/,unknown,During fall we compete in mountain biking and cyclocross; in spring we compete on the road.,Explicit road + mountain biking + cyclocross support on official Colby cycling page.,true,true,,,,,true,,active,,talomax@colby.edu,chatgpt-deep,mtb subtype unspecified
262,190150,Columbia University-NYC,https://www.columbia.edu/,https://perec.columbia.edu/club-sports/cycling-club,complete,https://perec.columbia.edu/cycling,unknown,"ECCC schools compete in track, mountain bike, cyclocross, and road events.",Official Columbia club page references track/MTB/cyclocross/road context and ECCC participation.,true,true,,,,,true,true,active,,,chatgpt-deep,team-level vs conference-level wording
149,190415,Cornell University,,,complete,https://cornellcycling.com/racing/,unknown,Club raced road in 2024-25 and supports mountain biking/cyclocross in 2025-26.,Cornell team site explicitly documents road plus mountain and cyclocross disciplines.,true,true,,,,,true,,active,,kes292@cornell.edu,chatgpt-deep,track not explicitly confirmed on current page
150,182670,Dartmouth College,,,complete,https://sites.dartmouth.edu/cycling/,unknown,Road season runs March-May; subset also races mountain and cyclocross September-December.,Official Dartmouth cycling site explicitly states road plus mountain and cyclocross participation.,true,true,,,,,true,,active,,heather.b.Somers@dartmouth.edu,chatgpt-deep,mtb subtype unspecified
151,212054,Drexel University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,briheint@gmail.com,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
152,191515,Hamilton College,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,pdicus@hamilton.edu,chatgpt-deep,verify exact discipline mapping from omnium columns; ECCC conference source referenced; listed on ECCC clubs page
